epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
14,1.28359,62.506,1.83312,50.88,81.25,0.54952,0.019868829976729445,16.177,0.974|0.712,0.16|4.14,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,255,49920,228.96
15,1.20748,64.535,1.61485,55.74,84.74,0.40738,0.019834084573956128,16.206,0.973|0.713,0.18|4.18,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,245.17
16,1.13218,66.569,1.6311,55.38,84.49,0.49892,0.019795299412524944,16.443,0.975|0.698,0.12|4.50,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,261.61
17,1.07435,67.825,1.66224,55.33,83.93,0.58789,0.01975249042505174,16.479,0.968|0.710,0.24|4.29,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,278.09
18,1.00917,69.531,1.75837,53.57,82.18,0.7492,0.019705675197106018,16.005,0.977|0.719,0.12|4.03,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,294.09
19,0.95904,70.964,1.68655,55.4,83.32,0.72751,0.019654872959986937,16.215,0.967|0.724,0.25|3.99,894.8|419.5,3120.0|3120.0,260|260,0|0,0|2,253,49920,310.31
20,0.89225,72.815,1.60961,57.25,85.34,0.71736,0.01960010458282326,16.373,0.968|0.719,0.25|4.14,894.8|419.6,3120.0|3120.0,260|260,0|0,0|2,252,49920,326.68
21,0.86368,73.532,1.55991,58.72,85.16,0.69623,0.01954139256400049,16.282,0.974|0.722,0.18|4.05,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,342.96
22,0.79826,75.471,1.51127,59.89,86.15,0.71301,0.019478761021918728,16.443,0.981|0.695,0.05|4.53,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,259,49920,359.41
23,0.76171,76.552,1.57542,58.92,85.91,0.81371,0.019412235685085034,15.907,0.973|0.723,0.14|3.93,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,375.31
24,0.72875,77.338,1.57713,59.35,86.06,0.84838,0.019341843881544373,15.748,0.977|0.725,0.11|3.90,894.8|420.1,3120.0|3120.0,260|260,0|0,0|2,254,49920,391.06
25,0.67908,78.728,1.59839,59.17,85.56,0.91931,0.01926761452765349,15.749,0.972|0.730,0.17|3.83,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,406.81
26,0.64372,79.71,1.54096,60.14,86.72,0.89724,0.019189578116202307,15.878,0.972|0.732,0.21|3.80,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,422.69
27,0.5993,81.052,1.63539,58.78,85.24,1.03609,0.019107766703887762,15.692,0.969|0.736,0.24|3.68,894.8|420.0,3120.0|3120.0,260|260,0|0,0|2,258,49920,438.38
28,0.56969,81.807,1.69328,59.05,84.87,1.12359,0.019022213898145176,15.514,0.981|0.720,0.05|3.87,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,453.89
29,0.53314,83.137,1.63091,59.97,85.87,1.09777,0.018932954843342592,15.464,0.971|0.748,0.21|3.43,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,469.36
30,0.50593,83.988,1.64075,59.44,85.81,1.13483,0.01884002620634378,15.572,0.977|0.717,0.10|3.94,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,484.93
31,0.46773,84.982,1.61121,61.19,86.28,1.14349,0.018743466161445822,15.689,0.972|0.744,0.20|3.55,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,500.62
32,0.45015,85.731,1.66126,60.29,85.85,1.21111,0.01864331437469738,15.651,0.975|0.723,0.14|3.86,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,516.27
33,0.41426,86.627,1.75128,59.2,85.07,1.33703,0.018539611987604256,15.745,0.974|0.728,0.15|3.81,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,532.01
34,0.39133,87.542,1.78557,59.72,85.0,1.39424,0.018432401600228823,15.784,0.961|0.747,0.36|3.52,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,255,49920,547.8
35,0.36295,88.353,1.67887,60.19,85.14,1.31592,0.01832172725369024,15.725,0.974|0.732,0.15|3.76,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,563.52
36,0.34397,89.075,1.68475,60.67,85.84,1.34079,0.018207634412072765,15.719,0.976|0.727,0.12|3.81,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,579.24
37,0.32298,89.627,1.73415,60.16,85.25,1.41117,0.018090169943749474,15.693,0.975|0.720,0.15|3.93,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,594.94
38,0.31581,89.956,1.72901,61.45,86.04,1.4132,0.01796938210212915,15.785,0.967|0.736,0.26|3.71,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,253,49920,610.72
39,0.292,90.803,1.68733,61.09,86.84,1.39533,0.017845320505834174,15.935,0.974|0.718,0.18|4.05,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,626.66
40,0.2723,91.328,1.74964,60.52,85.77,1.47734,0.01771803611831762,15.95,0.971|0.721,0.21|3.99,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,642.61
41,0.24507,92.228,1.72018,61.12,85.93,1.47511,0.01758758122692791,15.795,0.978|0.721,0.11|3.97,894.8|419.8,3120.0|3120.0,260|260,0|0,0|2,259,49920,658.4
42,0.2409,92.522,1.65418,62.26,86.78,1.41328,0.0174540094214296,15.972,0.964|0.741,0.33|3.66,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,255,49920,674.37
43,0.23843,92.46,1.67181,62.72,86.83,1.43338,0.017317375571989157,15.842,0.969|0.745,0.24|3.58,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,255,49920,690.21
44,0.22969,92.837,1.69739,61.94,86.2,1.4677,0.01717773580663479,16.03,0.975|0.716,0.15|4.06,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,706.24
45,0.21132,93.419,1.67369,62.7,86.34,1.46237,0.01703514748819948,15.87,0.964|0.746,0.31|3.55,894.8|419.5,3120.0|3120.0,260|260,0|0,0|2,257,49920,722.11
46,0.19016,94.181,1.68827,62.96,86.46,1.4981,0.016889669190756868,15.642,0.975|0.730,0.14|3.74,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,737.76
47,0.19054,94.197,1.63613,63.16,87.4,1.44559,0.016741360675559473,15.519,0.970|0.748,0.22|3.46,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,753.28
48,0.18853,94.125,1.63498,63.8,87.84,1.44644,0.01659028286648932,15.621,0.968|0.753,0.26|3.40,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,768.9
49,0.17281,94.651,1.61049,64.18,87.91,1.43768,0.016436497825030885,15.691,0.964|0.747,0.30|3.49,894.8|419.5,3120.0|3120.0,260|260,0|0,0|2,254,49920,784.59
50,0.16054,95.098,1.59476,64.4,87.59,1.43421,0.016280068724776796,15.61,0.967|0.755,0.24|3.35,894.8|420.1,3120.0|3120.0,260|260,0|0,0|2,257,49920,800.2
51,0.15995,95.036,1.59767,64.69,87.83,1.43772,0.016121059825476628,15.593,0.982|0.716,0.03|3.99,894.8|419.5,3120.0|3120.0,260|260,0|0,0|2,259,49920,815.79
52,0.16198,94.924,1.73887,61.88,85.97,1.57689,0.015959536446639572,15.451,0.983|0.723,0.04|3.86,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,831.24
53,0.15429,95.357,1.71537,62.45,86.78,1.56108,0.0157955649407017,15.612,0.974|0.737,0.16|3.68,894.8|420.1,3120.0|3120.0,260|260,0|0,0|2,256,49920,846.85
54,0.13914,95.911,1.63516,63.67,87.04,1.49602,0.015629212665768978,15.663,0.974|0.738,0.16|3.65,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,862.52
55,0.13119,96.068,1.6087,64.35,87.6,1.47751,0.015460547957947103,15.615,0.980|0.724,0.06|3.84,894.8|420.0,3120.0|3120.0,260|260,0|0,0|2,258,49920,878.13
56,0.12261,96.3,1.68304,63.7,86.31,1.56043,0.015289640103269624,15.676,0.971|0.746,0.21|3.51,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,893.81
57,0.11589,96.669,1.69107,63.0,86.76,1.57518,0.015116559309235824,15.673,0.974|0.728,0.16|3.79,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,909.48
58,0.11379,96.675,1.61028,64.46,87.58,1.49649,0.014941376675970057,15.673,0.970|0.751,0.21|3.42,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,925.15
59,0.09921,97.21,1.62605,65.11,87.59,1.52685,0.01476416416701445,15.728,0.969|0.748,0.24|3.52,894.8|420.1,3120.0|3120.0,260|260,0|0,0|2,256,49920,940.88
60,0.11621,96.633,1.7082,63.62,86.48,1.59198,0.014584994579766863,15.755,0.969|0.742,0.24|3.60,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,956.64
61,0.1086,96.861,1.61073,65.27,87.18,1.50213,0.014403941515576344,15.512,0.979|0.723,0.08|3.86,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,972.15
62,0.09494,97.298,1.57592,65.83,87.73,1.48098,0.01422107934950832,15.644,0.975|0.725,0.12|3.85,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,259,49920,987.79
63,0.10278,97.099,1.62664,64.69,87.53,1.52386,0.014036483199791948,15.861,0.969|0.727,0.24|3.87,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,1003.65
64,0.09061,97.548,1.73207,63.32,86.52,1.64145,0.013850228896962177,15.719,0.966|0.753,0.26|3.41,894.8|419.6,3120.0|3120.0,260|260,0|0,0|2,252,49920,1019.37
65,0.09321,97.314,1.72239,63.02,86.53,1.62919,0.013662392952709228,15.732,0.974|0.729,0.15|3.82,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,1035.11
66,0.08292,97.742,1.59785,65.87,87.56,1.51493,0.013473052528448201,15.809,0.965|0.749,0.29|3.51,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,1050.91
